subject	content	is_phishing	accept_money	deny_money	penalty_time	difficulty	length	signal	action	condition
Work from Home Position 	Hello,\n\nIt's me your best friend Mark Schnisell, I'm sending this since I saw you did amazing in my Biology class and wanted to offer you a PART TIME RESEARCH POSITION. It's only 5 hours a week and pays $500 weekly. answer me back so we can work together as a great team.	TRUE	-500.00	0.00	0.00			Work	Pay $500	
Police are on there way	Good Evening,\n\nThis is the FBI we recently have been doing some tracking on your computer and have found that there have been a lot of illegal materials and websites you have been going on which have incured a fine of over $780. We need to have this money wired over to us immediatley as agents are on there way to confiscated your belongings and arrest you. It is with the utmost importance you respond back to this email as soon as you see this as it is your only chance for freedom without reprecussion. Do not hesitate pay us $780 now	TRUE	-780.00	0.00	0.00			federal agents	Pay $780	
Representative Donation	Hello Stranger,\n\nYou may not know me, but I am your State's representative and am very familiar with you, just as I am with every other member of our great state. As you know, running for office can be a really challenging and gruelling process built around the many people who make up this great state, so we are asking for your support to help finance our campaign with a minimum $20 donation. Each day, as your rights are being defended, other lawmakers are wishing to shut them down. With the financial backing to take back our great state, we'll make it impossible to do so. For a better future, donate to me.\n\nSincerely,\n\nRepresentative I. Rashiv	FALSE	-20.00	0.00	0.00			politics	Pay $20	
Top 3 Vitams you need now	We see you siting there in your cheeto dusted t-shirt, we know exactly what you need...workout pills\n\nDid you know that you're overweight, didn't think so. The team overhere at 3FIT3 wanted to recommedn you 3new vitams in a pack that give you the guarnteeded fitness you were craving for.\n\n1: Testostrone and Estrogen Max fruit booster, need an extra kick in your day get your max amount out of a pill.\n\n2:Appeite Suppresant, what a better way to stay healthy than to never eat again-feels like smoking cigarette without the bitterness\n\n3:The Water Pill of Youth, feel the dissoving of the legendary fountain of youth as a great pallete cleanser to increase your vitality\n\nThe combined value of this collection is worth over $9000, but we're only selling it for $4000 a great value.\n\nPay online at www.3FIT3.com or send a cashiers check to 123 Sesame Street Toronto CA. 	TRUE	-4,000.00	0.00	0.00			health	Pay $4000	
It's Your Boss	It's your boss bro please loan me $10 or else our company will fail and you will be in trouble come monday	TRUE	-10.00	0.00	0.00			boss	Pay $10	
Nice to meet you	Dear royalty,\n\nI am a prince of a far away land looking for some help with a far away plan. See our money was stolen for a far away scam and we are looking to reepay you in our Far away Sands. With $100 for a credit card scan the riches of the world can be yours for a far away man. Please respond quickly of else this far away money will fly of the shelf far away.\n\nSincerely yours,\n\nFar away Royaly 	TRUE	-100.00	0.00	0.00			royalty	Pay $100	
Payroll Mistake, extra hours	Dear Employee,\n\nWe regret to inform you that the pay stub you recently received miscalculated the amount of pay in which you would receive. Your manager recently informed us that you went to work Saturday for overtime pay so please click on the link in our email to correct your pay and acknowledge this grievance with us. You will be receving $200 from that day for an 8 hour extra shift. Apologies for the inconvenience.\n\nSincerely,\n\nHr team	FALSE	200.00	0.00	0.00			pay stub	Accept $200	
Airport Ticket	Hey valued customer,\n\nWe are having a special sale offering flights for 33% below market value for the entire month of April if you book wiht us now.\n\nDue to your activity we see you frequently visit Michigan, Illinois, and Florida and would be intrested in offering you round trip tickets when you book for $300 to fly into any of these states. If your intrested click on the buttons below, we really would love to hear from you and eventually see you on one of our flights.	FALSE	-300.00	0.00	0.00			flight	Pay $300	
A Pet living in the house	Hey,\n\n It's Franklin. Your landlord.\n\nWe recently got word that you have a Goose living in hte apartment. As you know this is a violation of our agreement, as we need to know the animals within your home.\n\nAs a result we are now charging you an annual Pet fee of $50 and adding another $15 for not telling us. Please do not do this again or we will have to take bigger action and have you evicted.\n\n Your friendly landlord,\n\nFranklin	FALSE	-65.00	0.00	0.00			pet fee	Pay $65	goose
Fast Food survey result	Hello Participant,\n\nWe would gladly like to let you know that after your recent survey about your Fast Food experience you have won a free Large Fry and vanila ice cream. To claim your prize click the link.	FALSE	0.00	0.00	0.00			food	Collect	
Saving the World Early Screening	Hey Hey Hey Movie lover,\n\nWe have a great showing for you happening soon at a theater near you. However, because of your intrest in this movie we are sending you an extra special copy of the new movie. All you have to do is go to newmovie.rsu in order to see the new movie Saving the World before an early screening. 	TRUE	0.00	0.00	0.00			movie	Download	
THANK YOU SWEETHEART	Hi sweetheart, its grandma\n\nThank you for the happy birthday wishes ! Its so nice to hear from you !!! xx\n\nI heard there was a new video game coming out that you might enjoy. How about you buy yourself a treat\n\nLove you lots!! xoxo\n\nGrandma	FALSE	60.00	0.00	0.00				Collect $60	grandma
Your privacy has been comprimised 	To whom it may concern,\n\nSpacebook has recently been comprised and leaked over 10 million peoples information very recently. Under the settlement with Burnie Law and Sons, Spacebook has agreeed to pay out $300 for each person comprised within this cyber attack due to previously non compliant privacy standards. In order to claim these benefits please fill out the form with the link below.\n\n If you know anyone else who hasn't received this message please let us know so we may pay them out quickly.\n\nSincerely,\n\nBurnie Law and Sons	FALSE	300.00	0.00	0.00				Collect $300 	grandma
You're Identity has been Stolen	Hello,\n\n we're part of the national identity protection agency and we wanted to let you know that you're identity has been stolen and used for a major fraud case. As you know that when you have signed up for these email alerts for free in order to actually do something we do need you to send us $580 in order to retrive your identity. The longer yo u wait the more your families life is comprimised you cannot put this off for longer. We hope to retrive your identity soon.\n\nSincerely,\n\nIdentity Protection Agency LLC	TRUE	0.00	-580.00	0.00			identity theft	Pay $580	
Want to go on a GREAT date tonight?	Hey you,\n\nLooking to have a fun time tonight call me at 555-888-2323. $150 per hour to have the best virtual date night of your life.	TRUE	0.00	-150.00	0.00			e-date	Pay $150	
Support Animal Rights - Sign our petition 	Have you ever wondered what life would be like without Animals that were eaten.\n\n Sign our petition to help create this new reality of a society without the harm of animals for human gain. Help save mother nature's loving creatures and hlep curate a time of peace all with just one signature.\n\nYou're kindness means more than anything else ever could.\n\n Sincerely,\n\nyour local Animal rights activists group	FALSE	0.00	0.00	0.00			animals	Sign	
KEEP THE MUSIC GOING	KEEP PREMIUM RADIO ALIVE,\n\nThanks to generous donators like you we can keep this station of music and sound effects going. Music gives us a window into our lives that traps us within much our boring and mondane lives. In order to conitnue keeping this alive we need your support. All we ask for is one annual contribution of $20 just the size of a nice dinner. With this help we thank you for the support and hope you will continue to help for years to come.\n\nSincerely,\n\nPremium Radio	FALSE	0.00	0.00	0.00			radio	Pay $20	
SCAM SCAM SCAM	SCAM,\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.\n\nSCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM. SCAM.	TRUE	0.00	0.00	0.00				...yes?	
Planned Obsolence Smart Mirror: Upgrade Today	Dear Fellow Customer,\n\nThanks for your purchase of our great spyware mirror. We are really glad that you are dumb enough to buy an item that stares at you all day and watches you.\n\nUnfortunately this mirror will no longer work as the intense technology known as "glass" will no longer be avalible. We need you to spend $700 on a new glass upgrade as it is with the utmost importance that you can look at yourself in the mirror.\n\n Thanks for understanding,\n\nReflection LLC	TRUE	-700.00	0.00	0.00				Pay $700	
Brenden wants to become friends!	Dear Friend,\n\nWill you be my friend? I've been trying to add you on social media, but you keep ignoring my requests. I promise I am a very chill person. Also, check out my website! (https://bduhaime21.wixsite.com/bduhaime).\n\nSincerely,\n\nYour future friendly game developer	FALSE	0.00	0.00	0.00				Sure!	
W2 Tax Return	Dear Citizen,\n\nWe've received your information and have sent the amount that will be returned via email.\n\nFirst Name\n\n**********\n\nLast Name\n\n*******\n\nLast 4 SSN #'s\n\n****\n\nHas been credited: $1.07\n\nFrom,\n\nThe IRS	FALSE	1.07	0.00					Collect $1.07	
Make money with MEMECOINS TODAY!	Hey you want to get rich,\n\nI mean like filthy rich beyond your wildest dreams, I mean we're talking lamborghini and honda civic rich at the same time!!\n\nYou should invest in our memecoin, a completley fool proof way to make money on the blockchain that no one understands and is impervious to any attacks.\n\nAll you do is just steal money fromiditos, but here is the catch you have to put in at least $100 to the liquidity pool in order to 10x your returns. So send us over your information so you can become the god kings of the universe.\n\nYour Supremem rich Overlord, Alex	TRUE	0.00	100.00					Invest $100	
Mom needs surgery!!! (URGENT)	Mom just got into an accident on the highway!!! The police just called me and said they drove her to the McStature Hospital. She is in critical condition, and since it has been a challenging year trying to find jobs, we do not have enough money to cover the medical costs. I trust you will make the right decision and help us out.\n\nI have attached the bill to this email below:\n\nMcState Hospital\n\nInvoice #:\n\n124312\n\nPatient's Name:\n\n********\n\nDOB:\n\n5/22/1980\n\nCondition:\n\nCRITICAL\n\nFees:\n\nAmbulance: $1,000.00\n\nRoom and Board: $400.00\n\nSupplies: $1,000.00\n\nFacility Fees: $500.00\n\nHealthcare Fees: $500.00\n\nProcedures and Tests: $5,000\n\nTOTAL: $8,400.00\n\nRECEIPT FROM: McState Hospital\n\nSincerely,\n\nYour Father	TRUE	-8,400.00	0.00	0.00				Pay $8,400	
Have a dream for developing games...	Dear potential developer,\n\nDo you see a future as a game developer? Look no further, here at Digit Illiteracy Studios, we offer beginner- friendly programs to help spark that passion. When you become a member for just a low price of $50.00,\n\nyou learn how to start your journey and learn the skills to drive your games onto the front pages. Digit Illiteracy Studios thanks you for your time and looks forward to helping you achieve your dreams.\n\nThanks,\n\nDigit Illiteracy Studios	FALSE	500.00	0.00	0.00				Pay $50.00	
*HONK!*	*HONK!*\n\nHello roommate. Have found job. Untie people's shoes for them. Take payment from pockets. Highly profitable business.\n\nCan now help pay rent. Will give you $250.\n\ngoose	FALSE	250.00	0.00	0.00				Collect $250	goose
LOTTERY! LOTTERY! LOTTERY!	################\n\nTRY YOUR LUCK?\n\n################\n\nPurchase a ticket, and you will be entered into a random drawing. Only 1 ticket per person, prices may be expenses, but your gut says otherwise. Tickets start at $5,000.\n\n#############\n\nPRIZE: $80,000\n\n#############	FALSE	-5,000.00	0.00	0.00			lottery	Pay $5,000	
Re: Noise complaint	Hi. It's Franklin, your landlord.\n\nWe've received a noise complaint from one of your neighbors. This is not the first noise complaint we have received about your music, and as the landlord, I need to take command in these situations and prevent further discontrent. But I consider myself to be a solution-oriented person.\n\nI will be taking $200 from your account so I can have contractors come in and install more sound-proof walls and door liners.\n\nThanks.	FALSE	-200.00	-200.00	0.00				Sorry?	deny_noise
YOU'RE A WINNER!!!	###############\n\nCONGRATULATIONS\n\n###############\n\nYOU ARE OUR WINNER!!!\n\nYour ticket was drawn in the lottery and you are the WINNER of our $80,000 CASH PRIZE!\n\nColllect your winnings below!	FALSE	80,000.00	0.00	0.00				Wahoo!!	win_lottery
