subject	content	is_phishing	accept_money	deny_money	penalty_time	difficulty	length	signal	action	condition
Work from Home Position 	Hello,\n\nIt's me your best friend Mark Schnisell, I'm sending this since I saw you did amazing in my Biology class and wanted to offer you a PART TIME RESEARCH POSITION. It's only 5 hours a week and pays $500 weekly. answer me back so we can work together as a great team.	TRUE	-500.00	0.00	0.00			Work	Pay $500	
Police are on there way	Good Evening,\n\nThis is the FBI we recently have been doing some tracking on your computer and have found that there have been a lot of illegal materials and websites you have been going on which have incured a fine of over $780. We need to have this money wired over to us immediatley as agents are on there way to confiscated your belongings and arrest you. It is with the utmost importance you respond back to this email as soon as you see this as it is your only chance for freedom without reprecussion. Do not hesitate pay us $780 now	TRUE	-780.00	0.00	0.00			federal agents	Pay $780	
Representative Donation	Hello Stranger,\n\nYou may not know me, but I am your State's representative and am very familiar with you, just as I am with every other member of our great state. As you know, running for office can be a really challenging and gruelling process built around the many people who make up this great state, so we are asking for your support to help finance our campaign with a minimum $20 donation. Each day, as your rights are being defended, other lawmakers are wishing to shut them down. With the financial backing to take back our great state, we'll make it impossible to do so. For a better future, donate to me.\n\nSincerely,\n\nRepresentative I. Rashiv	FALSE	-20.00	0.00	0.00			politics	Pay $20	
Top 3 Vitams you need now	We see you siting there in your cheeto dusted t-shirt, we know exactly what you need...workout pills\n\nDid you know that you're overweight, didn't think so. The team overhere at 3FIT3 wanted to recommedn you 3new vitams in a pack that give you the guarnteeded fitness you were craving for.\n\n1: Testostrone and Estrogen Max fruit booster, need an extra kick in your day get your max amount out of a pill.\n\n2:Appeite Suppresant, what a better way to stay healthy than to never eat again-feels like smoking cigarette without the bitterness\n\n3:The Water Pill of Youth, feel the dissoving of the legendary fountain of youth as a great pallete cleanser to increase your vitality\n\nThe combined value of this collection is worth over $9000, but we're only selling it for $4000 a great value.\n\nPay online at www.3FIT3.com or send a cashiers check to 123 Sesame Street Toronto CA. 	TRUE	-4,000.00	0.00	0.00			health	Pay $4000	
It's Your Boss	It's your boss bro please loan me $10 or else our company will fail and you will be in trouble come monday	TRUE	-10.00	0.00	0.00			boss	Pay $10	
Nice to meet you	Dear royalty,\n\nI am a prince of a far away land looking for some help with a far away plan. See our money was stolen for a far away scam and we are looking to reepay you in our Far away Sands. With $100 for a credit card scan the riches of the world can be yours for a far away man. Please respond quickly of else this far away money will fly of the shelf far away.\n\nSincerely yours,\n\nFar away Royaly 	TRUE	-100.00	0.00	0.00			royalty	Pay $100	
Payroll Mistake, extra hours	Dear Employee,\n\nWe regret to inform you that the pay stub you recently received miscalculated the amount of pay in which you would receive. Your manager recently informed us that you went to work Saturday for overtime pay so please click on the link in our email to correct your pay and acknowledge this grievance with us. You will be receving $200 from that day for an 8 hour extra shift. Apologies for the inconvenience.\n\nSincerely,\n\nHr team	FALSE	200.00	0.00				pay stub	Accept $200	
Airport Ticket	Hey valued customer,\n\nWe are having a special sale offering flights for 33% below market value for the entire month of April if you book wiht us now.\n\nDue to your activity we see you frequently visit Michigan, Illinois, and Florida and would be intrested in offering you round trip tickets when you book for $300 to fly into any of these states. If your intrested click on the buttons below, we really would love to hear from you and eventually see you on one of our flights.	FALSE	-300.00	0.00	0.00			flight	Pay $300	
A Pet living in the house	Hey,\n\n It's Franklin. Your landlord.\n\nWe recently got word that you have a Goose living in hte apartment. As you know this is a violation of our agreement, as we need to know the animals within your home.\n\nAs a result we are now charging you an annual Pet fee of $50 and adding another $15 for not telling us. Please do not do this again or we will have to take bigger action and have you evicted.\n\n Your friendly landlord,\n\nFranklin	FALSE	-65.00	0.00	0.00			pet fee	Pay $65	goose
Fast Food survey result	Hello Participant,\n\nWe would gladly like to let you know that after your recent survey about your Fast Food experience you have won a free Large Fry and vanila ice cream. To claim your prize click the link.	FALSE	0.00	0.00	0.00			food	collect food	
